,Online_id,Experiment_id,Lastfm_tag,Artist,Title,Youtube_link,Highlight_start,Num_ratings,VAQ_Estimate,VAQ_Online,AVG_Valence,STD_Valence,Q1_Valence,Q2_Valence,Q3_Valence,AVG_Arousal,STD_Arousal,Q1_Arousal,Q2_Arousal,Q3_Arousal,AVG_Dominance,STD_Dominance,Q1_Dominance,Q2_Dominance,Q3_Dominance
1,2,1,fun,Emilíana Torrini,Jungle Drum,http://www.youtube.com/watch?v=iZ9vkd7Rp-g,81,14,1,1,6.8571,1.3015,4,6.5,8,5.8571,2.1993,4,7,7,6,1.5584,5,6,7
2,7,2,exciting,Lustra,Scotty Doesn't Know,http://www.youtube.com/watch?v=51ncDQYxsm8,141,14,1,1,5.9286,2.0516,6,6,7.1667,6.9286,1.9808,6,7.5,8,5.5,2.4128,3.9167,6,7.0833
3,15,3,joy,Jackson 5,Blame It On The Boogie,http://www.youtube.com/watch?v=nb1u7wMKywM,21,15,1,1,6.9333,2.3228,6,7,9,6.4667,1.9276,6,7,7,5.8,2.0067,5,7,7
4,62,4,,The B52'S ,Love Shack,http://www.youtube.com/watch?v=leohcvmf8kM,181,15,1,1,7,1.7127,5,7,8.8333,5.9333,1.9821,5,6,7,6.0667,1.9821,5,5,8
5,63,5,,Blur ,Song 2 ,http://www.youtube.com/watch?v=WlAHZURxRjY,6,15,1,1,7.2,1.7588,7,7,9,7.3333,1.5776,7,7,9,6.5333,2.0613,5.1667,7,8.6667
6,70,6,,Blink 182 ,First Date,http://www.youtube.com/watch?v=vVy9Lgpg1m8,51,15,1,1,6.1333,1.4996,5.1667,6,7,6.2,1.6,5.1667,6,7,5.6,1.9596,5,5,7
7,72,7,,Benny Benassi ,Satisfaction ,http://www.youtube.com/watch?v=eoRiVwFP02s,26,15,1,1,6.6667,1.8856,6,7,8.6667,6.4667,2.0613,6,7,8,5.9333,2.3228,5,7,7.8333
8,84,8,,Lily Allen ,Fuck You,http://www.youtube.com/watch?v=S0zMHf7J15g,6,15,2,1,7.2667,1.34,5,7,8.8333,6.0667,1.7689,5,6,7,6.6667,1.6193,6,6,8
9,88,9,,Queen,I Want To Break Free,http://www.youtube.com/watch?v=EVYgRPfC9nQ,6,15,2,1,7.0667,1.8427,6,7,8,6.4,1.9933,6,7,7.8333,6.8,2.1664,5.1667,8,8
10,118,10,,Rage Against The Machine,Bombtrack,http://www.youtube.com/watch?v=Tu1wAP2Baco,6,15,4,1,5.8667,2.1868,6,6,8.5,7.0667,1.436,6,7,8,7.0667,1.6111,6,7,9
11,9,11,happy,Michael Franti & Spearhead,Say Hey (I Love You),http://www.youtube.com/watch?v=eoaTl7IcFs8,151,14,1,2,7.1429,1.1867,3,7.5,8,4.8571,1.4569,3,5,6,5.2143,1.319,5,5,6
12,17,12,cheerful,Grand Archives,Miniature Birds,http://www.youtube.com/watch?v=_iEnN9ip1Qk,151,14,2,2,5.9286,1.7914,2,6,7,3.3571,1.342,2,3,4.0833,4.9286,1.7914,4.8333,5,5.0833
13,24,13,love,Bright Eyes,First Day Of My Life,http://www.youtube.com/watch?v=zwFS69nA-1w,6,14,2,2,6.5714,1.3997,1.9167,7,8,4.2143,2.5122,1.9167,4,6.0833,5.4286,2.0603,4.8333,5,7
14,27,14,happy,Jason Mraz,I'm Yours,http://www.youtube.com/watch?v=EkHTsc9PU2A,6,15,2,2,7.0667,1.436,3,7,8.8333,4.7333,2.1124,3,5,6.8333,5.3333,2.087,4.1667,5,6.8333
15,29,15,lovely,Bishop Allen,Butterfly Nets,http://www.youtube.com/watch?v=B8eI64H1Cqk,6,15,2,2,6.4667,1.3597,2.1667,7,7.8333,4,1.7889,2.1667,4,6,4.9333,1.9137,4,5,6
16,37,16,sentimental,The Submarines,Darkest Things,http://www.youtube.com/watch?v=ijLKoqN5_EY,41,15,3,2,5.1333,1.0873,1,5,6,2.4,1.6248,1,2,3,4.4667,2.125,3.1667,5,6
17,76,17,,Air,Moon Safari,http://www.youtube.com/watch?v=kxWFyvTg6mc,211,15,2,2,6.0667,1.6111,2,6,7,3,1.5055,2,3,3.8333,4.8,2.1354,3.1667,5,6.6667
18,80,18,,Louis Armstrong ,What A Wonderful World ,http://www.youtube.com/watch?v=3orLNBS2ZbU,86,15,2,2,7.1333,1.4079,2.1667,7,8,3.8667,1.8571,2.1667,4,5,5,2.1909,3.1667,5,7
19,83,19,,Manu Chao ,Me Gustas Tu,http://www.youtube.com/watch?v=mzgjiPBCsss,46,15,2,2,7.5333,1.2579,3.1667,8,8,4.4667,1.5861,3.1667,5,5.8333,5.7333,1.4817,5,5,6.8333
20,85,20,,Taylor Swift ,Love Story,http://www.youtube.com/watch?v=8xg3vE8Ie_E,151,15,2,2,6.2667,1.1813,3,6,6.8333,4.1333,1.7075,3,5,5.8333,4.6667,1.7764,3,5,6
21,108,21,,Diamanda Galas,Gloomy Sunday,http://www.youtube.com/watch?v=KzWVWY5QUzg,41,14,4,3,4.1429,1.807,3,4,5,4.2143,1.5203,3,4.5,5.0833,4,1.8127,2.9167,4.5,5.0833
22,31,22,sentimental,Porcupine Tree,Normal,http://www.youtube.com/watch?v=A-BSL5Av89w,126,15,3,3,4.2,1.4236,2,4,5,3.7333,1.8062,2,4,5,3.9333,1.9482,3,3,5
23,33,23,melancholy,Wilco,How To Fight Loneliness,http://www.youtube.com/watch?v=zLDPhPrr5Ig,181,15,3,3,3.3333,1.1926,3.1667,3,4,4.4667,1.9956,3.1667,4,6,3.2,1.376,2.1667,3,4
24,41,24,sad,James Blunt,Goodbye My Lover,http://www.youtube.com/watch?v=wVyggTKDcOE,186,15,3,3,3.3333,1.3499,2,3,4.8333,2.9333,1.6918,2,3,3.8333,4.6667,2.1499,3,4,5.8333
25,44,25,depressing,A Fine Frenzy,Goodbye My Almost Lover,http://www.youtube.com/watch?v=EDEEzS7OV2k,211,15,3,3,4.2,1.6411,3,4,6,3.6,1.2,3,4,4.8333,4.6,1.8184,3,5,6
26,45,26,mellow,Kings Of Convenience,The Weight Of My Words,http://www.youtube.com/watch?v=G-k19OCq7vE,191,15,3,3,4.2,1.7963,2,4,4.8333,3,1.5055,2,3,4,3.3333,1.7764,2,4,4
